State Code,State,Claim Amount,Response,Coverage,Education,Effective To Date,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy Type,Policy,Claim Reason,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size,ResponseNumeric
IA,Iowa,910.2267849,No,Premium,High School or Below,1/12/2011,Disabled,F,26049,Rural,Married,118,17,6,0,6,Personal Auto,Personal L2,Collision,Call Center,121.032372,Two-Door Car,Large,0
NE,Nebraska,254.0407726,No,Basic,Doctor,1/16/2011,Employed,M,70125,Rural,Single,64,21,77,0,1,Special Auto,Special L2,Hail,Branch,92.813396,Four-Door Car,Medsize,0
MO,Missouri,1294.189193,No,Basic,College,1/22/2011,Employed,M,52369,Suburban,Married,110,34,49,1,2,Personal Auto,Personal L3,Collision,Agent,528,SUV,Medsize,0
KS,Kansas,236.5348601,No,Basic,Bachelor,1/13/2011,Unemployed,F,0,Rural,Married,66,25,51,2,1,Special Auto,Special L2,Hail,Branch,159.636956,Four-Door Car,Medsize,0
NE,Nebraska,572.0765064,No,Basic,College,2/11/2011,Employed,M,41770,Suburban,Married,72,0,60,0,9,Personal Auto,Personal L1,Hail,Branch,476.156957,Four-Door Car,Small,0
IA,Iowa,703.5534088,No,Premium,High School or Below,1/4/2011,Unemployed,M,0,Suburban,Divorced,101,16,88,0,8,Corporate Auto,Corporate L3,Scratch/Dent,Web,727.2,Four-Door Car,Medsize,0
MO,Missouri,263.697773,No,Basic,College,1/29/2011,Employed,M,31911,Suburban,Married,67,33,27,0,1,Personal Auto,Personal L3,Hail,Agent,321.6,Four-Door Car,Medsize,0
OK,Oklahoma,539.5831967,No,Basic,Bachelor,2/28/2011,Employed,M,70051,Rural,Married,68,15,69,0,8,Corporate Auto,Corporate L3,Other,Web,42.078345,Four-Door Car,Medsize,0
IA,Iowa,838.2630118,Yes,Basic,High School or Below,2/4/2011,Retired,M,19683,Suburban,Married,117,17,41,1,9,Personal Auto,Personal L2,Collision,Web,561.6,Sports Car,Medsize,1
KS,Kansas,3116.174523,No,Basic,College,2/2/2011,Employed,F,30916,Rural,Married,112,7,65,0,2,Personal Auto,Personal L1,Collision,Agent,200.11606,SUV,Small,0
IA,Iowa,288.7742258,No,Extended,Bachelor,1/3/2011,Unemployed,F,0,Suburban,Single,80,24,95,0,1,Personal Auto,Personal L1,Collision,Call Center,676.944023,Four-Door Car,Medsize,0
KS,Kansas,871.4922135,Yes,Basic,College,2/21/2011,Unemployed,F,0,Suburban,Divorced,118,14,64,0,4,Corporate Auto,Corporate L3,Collision,Agent,566.4,SUV,Medsize,1
MO,Missouri,2558.572783,No,Basic,Bachelor,2/1/2011,Unemployed,M,0,Suburban,Married,116,0,45,0,2,Corporate Auto,Corporate L1,Hail,Call Center,830.623064,SUV,Medsize,0
IA,Iowa,1027.26082,No,Extended,College,1/1/2011,Employed,M,60145,Urban,Single,132,8,28,0,3,Personal Auto,Personal L3,Scratch/Dent,Web,580.473259,SUV,Medsize,0
IA,Iowa,437.6363592,Yes,Premium,Bachelor,2/28/2011,Employed,F,63774,Rural,Divorced,111,18,63,0,1,Personal Auto,Personal L3,Hail,Agent,60.036683,Four-Door Car,Medsize,1
MO,Missouri,531.889664,Yes,Basic,Bachelor,1/12/2011,Employed,F,25134,Suburban,Married,67,3,0,0,6,Corporate Auto,Corporate L2,Hail,Call Center,321.6,Four-Door Car,Small,1
IA,Iowa,471.9762191,No,Basic,Bachelor,2/13/2011,Employed,M,37057,Rural,Married,61,5,48,1,6,Personal Auto,Personal L2,Collision,Agent,47.53101,Four-Door Car,Small,0
IA,Iowa,442.8031583,Yes,Basic,High School or Below,1/29/2011,Employed,F,58577,Urban,Married,110,6,62,0,1,Personal Auto,Personal L3,Collision,Agent,303.872752,SUV,Medsize,1
MO,Missouri,587.9176092,No,Basic,High School or Below,2/13/2011,Employed,M,85857,Rural,Married,73,3,19,0,6,Corporate Auto,Corporate L2,Other,Agent,100.620067,Four-Door Car,Medsize,0
IA,Iowa,941.6908485,No,Basic,Doctor,1/22/2011,Employed,F,70602,Urban,Married,116,8,47,0,3,Personal Auto,Personal L3,Scratch/Dent,Call Center,481.339891,SUV,Small,0
IA,Iowa,828.8155579,No,Premium,Master,1/25/2011,Employed,F,33816,Suburban,Divorced,106,10,97,2,3,Corporate Auto,Corporate L3,Collision,Branch,508.8,Four-Door Car,Medsize,0
IA,Iowa,3265.48383,No,Premium,Bachelor,2/23/2011,Unemployed,M,0,Suburban,Single,153,7,75,0,2,Personal Auto,Personal L3,Scratch/Dent,Branch,1101.6,SUV,Medsize,0
IA,Iowa,471.9450052,No,Extended,College,2/18/2011,Employed,F,89642,Rural,Married,121,11,20,4,1,Corporate Auto,Corporate L3,Scratch/Dent,Call Center,86.320022,SUV,Medsize,0
MO,Missouri,390.3474784,No,Extended,Bachelor,1/3/2011,Employed,F,60068,Suburban,Married,98,17,75,0,1,Personal Auto,Personal L3,Hail,Agent,470.4,Two-Door Car,Small,0
MO,Missouri,545.7259678,No,Extended,Bachelor,1/9/2011,Employed,F,50044,Suburban,Single,139,16,14,0,1,Personal Auto,Personal L2,Scratch/Dent,Call Center,667.2,SUV,Medsize,0
MO,Missouri,272.5356404,Yes,Basic,Master,1/3/2011,Employed,F,36650,Rural,Married,69,2,70,1,1,Personal Auto,Personal L3,Hail,Web,56.60333,Four-Door Car,Large,1
NE,Nebraska,443.397368,No,Basic,College,2/21/2011,Employed,F,50653,Rural,Married,110,29,42,0,1,Corporate Auto,Corporate L3,Other,Agent,262.865172,SUV,Small,0
NE,Nebraska,533.2462694,Yes,Basic,Doctor,2/22/2011,Employed,F,68931,Urban,Married,66,32,30,0,7,Personal Auto,Personal L1,Hail,Branch,309.577946,Four-Door Car,Medsize,1
IA,Iowa,231.5094985,No,Basic,Bachelor,1/9/2011,Unemployed,M,0,Suburban,Single,73,14,39,1,1,Corporate Auto,Corporate L3,Collision,Branch,350.4,Four-Door Car,Medsize,0
MO,Missouri,541.1953687,No,Basic,College,2/7/2011,Unemployed,F,0,Suburban,Single,73,1,22,0,5,Personal Auto,Personal L2,Hail,Call Center,365.364581,Four-Door Car,Medsize,0
MO,Missouri,958.733234,No,Extended,Bachelor,2/26/2011,Employed,M,39266,Suburban,Married,80,33,31,0,2,Personal Auto,Personal L2,Other,Branch,384,Four-Door Car,Medsize,0
MO,Missouri,2210.35072,Yes,Basic,College,1/30/2011,Unemployed,M,0,Suburban,Married,102,35,48,0,2,Personal Auto,Personal L3,Collision,Branch,489.6,SUV,Medsize,1
OK,Oklahoma,976.4945308,No,Extended,High School or Below,2/28/2011,Unemployed,F,0,Suburban,Single,98,24,11,1,2,Personal Auto,Personal L2,Hail,Web,705.6,Four-Door Car,Small,0
OK,Oklahoma,256.7151468,No,Basic,Bachelor,2/20/2011,Employed,F,40864,Rural,Married,65,2,75,0,1,Corporate Auto,Corporate L1,Hail,Web,9.51528,Four-Door Car,Medsize,0
IA,Iowa,265.0622781,No,Basic,College,1/20/2011,Employed,F,39035,Urban,Divorced,68,15,65,0,1,Personal Auto,Personal L2,Hail,Agent,244.564334,Four-Door Car,Medsize,0
MO,Missouri,1126.436334,No,Extended,Bachelor,1/22/2011,Employed,M,34923,Suburban,Single,98,23,82,0,2,Personal Auto,Personal L1,Collision,Call Center,639.105556,Two-Door Car,Medsize,0
MO,Missouri,216.8523464,No,Basic,High School or Below,1/6/2011,Unemployed,M,0,Suburban,Single,63,1,56,0,1,Personal Auto,Personal L3,Hail,Agent,453.6,Four-Door Car,Medsize,0
MO,Missouri,861.0667489,No,Basic,High School or Below,2/6/2011,Unemployed,F,0,Suburban,Married,111,27,36,0,9,Corporate Auto,Corporate L1,Scratch/Dent,Web,532.8,SUV,Medsize,0
MO,Missouri,283.4646235,No,Basic,College,2/2/2011,Employed,F,24506,Suburban,Divorced,71,7,47,0,1,Personal Auto,Personal L1,Collision,Agent,511.2,Two-Door Car,Medsize,0
IA,Iowa,893.0139728,No,Extended,High School or Below,2/23/2011,Unemployed,M,0,Suburban,Married,82,25,63,0,2,Personal Auto,Personal L1,Other,Call Center,554.522969,Four-Door Car,Medsize,0
NE,Nebraska,553.6386959,No,Basic,College,1/7/2011,Employed,F,52220,Suburban,Married,70,17,42,1,5,Personal Auto,Personal L2,Collision,Call Center,336,Four-Door Car,Small,0
NE,Nebraska,284.085429,No,Basic,High School or Below,2/27/2011,Unemployed,M,0,Suburban,Married,74,17,73,0,1,Personal Auto,Personal L3,Collision,Call Center,402.449823,Two-Door Car,Medsize,0
MO,Missouri,808.2880956,No,Basic,College,1/21/2011,Employed,M,53554,Suburban,Married,67,6,5,0,2,Personal Auto,Personal L2,Collision,Agent,327.020539,Four-Door Car,Large,0
MO,Missouri,525.4734278,No,Basic,Bachelor,2/4/2011,Employed,M,34476,Rural,Married,67,23,49,1,3,Corporate Auto,Corporate L2,Other,Call Center,5.3953,Four-Door Car,Medsize,0
NE,Nebraska,511.6237577,No,Basic,Bachelor,1/8/2011,Unemployed,F,0,Rural,Married,70,1,11,0,5,Personal Auto,Personal L2,Collision,Web,131.401291,Four-Door Car,Medsize,0
MO,Missouri,303.4646997,No,Extended,College,2/4/2011,Employed,M,68205,Rural,Married,76,35,14,0,1,Personal Auto,Personal L1,Other,Branch,99.382943,Two-Door Car,Medsize,0
MO,Missouri,802.489992,No,Basic,High School or Below,1/15/2011,Unemployed,F,0,Suburban,Single,119,6,48,1,8,Personal Auto,Personal L1,Scratch/Dent,Branch,856.8,SUV,Medsize,0
MO,Missouri,1821.114319,No,Premium,High School or Below,2/7/2011,Employed,M,53690,Suburban,Married,154,20,97,0,2,Personal Auto,Personal L3,Other,Call Center,739.2,SUV,Small,0
IA,Iowa,512.1563312,No,Basic,High School or Below,2/19/2011,Unemployed,M,0,Suburban,Single,72,2,22,0,5,Personal Auto,Personal L3,Collision,Branch,518.4,Four-Door Car,Medsize,0
MO,Missouri,215.0178588,No,Basic,High School or Below,2/9/2011,Unemployed,F,0,Suburban,Single,61,28,31,0,1,Personal Auto,Personal L3,Hail,Web,292.8,Four-Door Car,Medsize,0
MO,Missouri,559.5389905,Yes,Basic,High School or Below,2/5/2011,Employed,F,74454,Suburban,Single,71,25,29,0,3,Personal Auto,Personal L3,Hail,Call Center,340.8,Four-Door Car,Medsize,1
OK,Oklahoma,756.2824036,No,Basic,Bachelor,1/15/2011,Unemployed,F,0,Suburban,Single,73,23,91,0,2,Personal Auto,Personal L1,Hail,Branch,350.4,Four-Door Car,Large,0
IA,Iowa,538.5853211,No,Basic,High School or Below,2/6/2011,Medical Leave,M,29664,Suburban,Married,71,1,69,0,3,Personal Auto,Personal L1,Collision,Agent,340.8,Four-Door Car,Medsize,0
KS,Kansas,471.8558501,No,Basic,Master,2/27/2011,Disabled,M,15680,Urban,Divorced,64,20,29,0,8,Personal Auto,Personal L3,Other,Web,260.879903,Four-Door Car,Medsize,0
OK,Oklahoma,942.2567923,No,Extended,Bachelor,1/17/2011,Employed,F,47272,Rural,Married,79,17,17,3,2,Personal Auto,Personal L3,Collision,Call Center,64.546877,Four-Door Car,Medsize,0
IA,Iowa,360.5860265,No,Extended,College,1/7/2011,Employed,F,21585,Suburban,Married,92,35,61,0,1,Corporate Auto,Corporate L2,Other,Agent,441.6,Four-Door Car,Medsize,0
MO,Missouri,776.2590564,No,Premium,College,1/3/2011,Disabled,F,23827,Rural,Married,106,18,77,2,3,Personal Auto,Personal L3,Collision,Agent,37.910623,Four-Door Car,Medsize,0
NE,Nebraska,2344.490045,No,Basic,College,1/26/2011,Employed,F,69906,Urban,Married,74,34,32,2,2,Corporate Auto,Corporate L3,Hail,Branch,202.860399,Four-Door Car,Medsize,0
MO,Missouri,255.8178159,No,Basic,High School or Below,1/7/2011,Unemployed,F,0,Suburban,Single,72,7,77,0,1,Corporate Auto,Corporate L3,Collision,Call Center,345.6,Four-Door Car,Small,0
KS,Kansas,512.3170887,No,Basic,Master,1/14/2011,Employed,F,89879,Rural,Married,63,17,20,0,3,Personal Auto,Personal L3,Hail,Web,94.030308,Two-Door Car,Medsize,0
KS,Kansas,253.7744494,No,Basic,High School or Below,2/20/2011,Unemployed,F,0,Suburban,Married,69,9,89,0,1,Personal Auto,Personal L3,Other,Branch,331.2,Four-Door Car,Large,0
MO,Missouri,296.9593296,No,Basic,High School or Below,1/1/2011,Employed,M,46131,Suburban,Married,74,27,28,0,1,Personal Auto,Personal L3,Hail,Branch,355.2,Two-Door Car,Small,0
IA,Iowa,436.3124641,No,Basic,Master,1/10/2011,Employed,F,54514,Urban,Divorced,109,5,36,3,1,Personal Auto,Personal L2,Hail,Branch,286.234931,SUV,Medsize,0
MO,Missouri,588.4308607,No,Premium,High School or Below,1/27/2011,Unemployed,F,0,Suburban,Single,161,29,1,0,1,Personal Auto,Personal L3,Collision,Agent,1159.2,SUV,Medsize,0
OK,Oklahoma,527.2191556,No,Basic,College,2/7/2011,Employed,F,96668,Suburban,Single,66,2,95,0,3,Personal Auto,Personal L2,Collision,Agent,316.8,Four-Door Car,Medsize,0
MO,Missouri,550.9895664,No,Basic,Doctor,1/25/2011,Employed,M,78879,Suburban,Married,69,9,67,1,4,Personal Auto,Personal L3,Other,Call Center,466.570791,Four-Door Car,Small,0
OK,Oklahoma,1631.368349,No,Basic,College,2/11/2011,Unemployed,M,0,Suburban,Single,69,21,86,0,2,Personal Auto,Personal L1,Scratch/Dent,Call Center,331.2,Four-Door Car,Medsize,0
NE,Nebraska,567.8050167,Yes,Extended,Bachelor,1/19/2011,Unemployed,F,0,Suburban,Married,76,8,44,0,3,Personal Auto,Personal L1,Hail,Agent,364.8,Four-Door Car,Small,1
MO,Missouri,1210.120884,No,Basic,Bachelor,2/4/2011,Unemployed,F,0,Suburban,Single,112,28,30,0,2,Personal Auto,Personal L2,Hail,Agent,1252.406235,Sports Car,Large,0
IA,Iowa,245.3570794,Yes,Basic,Bachelor,2/9/2011,Medical Leave,M,29735,Suburban,Single,69,3,92,0,1,Personal Auto,Personal L2,Collision,Agent,331.2,Four-Door Car,Medsize,1
MO,Missouri,507.566267,No,Basic,High School or Below,2/20/2011,Medical Leave,M,23082,Suburban,Married,65,18,90,0,7,Special Auto,Special L3,Collision,Branch,312,Four-Door Car,Large,0
NE,Nebraska,321.4979402,No,Extended,Bachelor,2/4/2011,Employed,M,53984,Suburban,Divorced,80,15,62,0,1,Corporate Auto,Corporate L2,Collision,Call Center,421.484456,Four-Door Car,Small,0
MO,Missouri,1227.534309,No,Premium,College,1/8/2011,Employed,F,52135,Urban,Single,156,6,86,0,9,Personal Auto,Personal L3,Hail,Call Center,430.505942,SUV,Small,0
MO,Missouri,272.2210707,Yes,Basic,College,2/2/2011,Medical Leave,F,17576,Suburban,Married,71,29,70,0,1,Corporate Auto,Corporate L3,Hail,Call Center,398.502948,Four-Door Car,Medsize,1
IA,Iowa,245.7440923,No,Basic,Bachelor,2/7/2011,Employed,F,29486,Rural,Married,62,19,73,0,1,Personal Auto,Personal L3,Hail,Web,7.646763,Four-Door Car,Medsize,0
IA,Iowa,355.4845264,Yes,Extended,Master,1/10/2011,Employed,F,58557,Rural,Married,88,4,83,0,1,Corporate Auto,Corporate L2,Collision,Branch,55.510526,Four-Door Car,Large,1
MO,Missouri,492.9549699,Yes,Basic,Bachelor,1/26/2011,Employed,M,25632,Suburban,Married,63,27,52,0,7,Personal Auto,Personal L1,Hail,Call Center,351.270869,Two-Door Car,Medsize,1
MO,Missouri,803.645034,No,Basic,High School or Below,2/1/2011,Unemployed,F,0,Suburban,Single,112,7,42,0,9,Personal Auto,Personal L1,Collision,Branch,806.4,Sports Car,Medsize,0
NE,Nebraska,427.6915328,No,Basic,Bachelor,1/28/2011,Disabled,M,18768,Suburban,Single,68,19,53,3,3,Corporate Auto,Corporate L3,Collision,Agent,647.454583,Four-Door Car,Medsize,0
MO,Missouri,3347.334946,Yes,Basic,Bachelor,1/11/2011,Employed,F,33190,Suburban,Divorced,106,18,95,0,2,Personal Auto,Personal L3,Collision,Web,508.8,SUV,Medsize,1
IA,Iowa,596.0581363,No,Basic,Master,2/3/2011,Employed,F,47945,Rural,Married,74,32,39,0,3,Personal Auto,Personal L3,Hail,Branch,128.43823,Two-Door Car,Medsize,0
NE,Nebraska,4479.546942,No,Extended,College,2/4/2011,Employed,M,58778,Rural,Married,126,6,62,0,2,Special Auto,Special L3,Collision,Agent,302.033971,SUV,Small,0
MO,Missouri,383.2118106,No,Basic,High School or Below,2/14/2011,Disabled,F,15192,Suburban,Married,100,1,7,0,1,Personal Auto,Personal L2,Other,Web,480,SUV,Medsize,0
MO,Missouri,683.7932624,No,Premium,Bachelor,1/24/2011,Employed,F,51859,Suburban,Married,171,0,21,0,1,Personal Auto,Personal L2,Other,Branch,1003.160633,SUV,Medsize,0
OK,Oklahoma,528.526816,No,Basic,High School or Below,2/23/2011,Retired,F,23422,Suburban,Single,72,25,76,0,3,Personal Auto,Personal L3,Hail,Agent,518.4,Two-Door Car,Medsize,0
MO,Missouri,309.6511217,Yes,Extended,College,2/12/2011,Employed,F,21604,Suburban,Divorced,79,14,28,0,1,Corporate Auto,Corporate L3,Collision,Branch,379.2,Four-Door Car,Medsize,1
NE,Nebraska,358.9710715,No,Extended,College,1/5/2011,Employed,M,79298,Urban,Married,90,22,2,0,1,Personal Auto,Personal L1,Hail,Call Center,244.362072,Four-Door Car,Medsize,0
NE,Nebraska,258.2408525,Yes,Basic,Bachelor,2/14/2011,Employed,F,76731,Urban,Married,64,2,68,0,1,Special Auto,Special L3,Hail,Agent,201.455005,Four-Door Car,Medsize,1
KS,Kansas,248.7729726,No,Basic,College,2/2/2011,Employed,F,67282,Suburban,Married,62,29,27,0,1,Personal Auto,Personal L2,Hail,Web,297.6,Two-Door Car,Medsize,0
NE,Nebraska,1357.567599,No,Basic,College,1/23/2011,Employed,F,48534,Suburban,Married,115,29,79,1,2,Personal Auto,Personal L3,Other,Call Center,552,SUV,Small,0
KS,Kansas,468.5504251,No,Premium,Doctor,1/5/2011,Employed,M,77678,Suburban,Married,116,32,81,0,1,Personal Auto,Personal L2,Collision,Call Center,741.418485,Two-Door Car,Small,0
IA,Iowa,2868.582785,No,Basic,College,2/24/2011,Employed,F,48412,Suburban,Single,104,15,23,0,2,Personal Auto,Personal L3,Scratch/Dent,Agent,707.430832,SUV,Medsize,0
KS,Kansas,276.4032126,No,Basic,High School or Below,1/10/2011,Employed,F,33837,Urban,Married,72,29,54,4,1,Corporate Auto,Corporate L2,Collision,Branch,305.575785,Two-Door Car,Medsize,0
IA,Iowa,618.3111464,No,Extended,Bachelor,2/13/2011,Disabled,M,23712,Urban,Single,85,2,20,0,3,Personal Auto,Personal L2,Collision,Branch,376.126419,Four-Door Car,Medsize,0
MO,Missouri,387.3647046,Yes,Basic,College,1/20/2011,Retired,M,28142,Suburban,Married,105,18,50,0,1,Personal Auto,Personal L3,Hail,Agent,701.708239,Sports Car,Medsize,1
MO,Missouri,1892.93306,No,Basic,Master,2/5/2011,Employed,F,72196,Rural,Single,68,8,61,0,2,Personal Auto,Personal L2,Hail,Branch,152.184244,Four-Door Car,Medsize,0
MO,Missouri,555.3295758,No,Basic,Master,1/7/2011,Employed,M,68197,Urban,Married,69,1,81,0,3,Personal Auto,Personal L1,Hail,Branch,176.819414,Four-Door Car,Medsize,0
MO,Missouri,501.1259184,No,Basic,Bachelor,2/27/2011,Employed,M,75248,Rural,Married,63,13,71,0,5,Corporate Auto,Corporate L3,Hail,Agent,104.454624,Four-Door Car,Large,0
MO,Missouri,1044.244633,No,Extended,College,1/8/2011,Unemployed,F,0,Suburban,Single,98,9,50,0,2,Personal Auto,Personal L1,Collision,Agent,941.718054,Four-Door Car,Small,0
OK,Oklahoma,219.961781,No,Basic,Bachelor,1/6/2011,Unemployed,M,0,Suburban,Single,65,5,19,1,1,Personal Auto,Personal L2,Collision,Agent,468,Two-Door Car,Medsize,0
KS,Kansas,870.9845263,No,Premium,Bachelor,2/3/2011,Employed,F,41546,Rural,Divorced,111,4,47,0,3,Corporate Auto,Corporate L1,Collision,Call Center,121.306839,Four-Door Car,Medsize,0
IA,Iowa,748.4310483,No,Extended,High School or Below,1/20/2011,Employed,M,46998,Suburban,Divorced,96,13,98,0,6,Corporate Auto,Corporate L3,Scratch/Dent,Agent,460.8,Four-Door Car,Medsize,0
IA,Iowa,261.3023132,No,Basic,Bachelor,2/23/2011,Employed,M,57099,Rural,Single,67,20,37,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,67.859881,Two-Door Car,Small,0
NE,Nebraska,908.0639651,No,Basic,Bachelor,1/26/2011,Employed,F,33897,Urban,Married,114,15,67,0,8,Corporate Auto,Corporate L3,Collision,Agent,539.843003,SUV,Small,0
OK,Oklahoma,1377.097618,Yes,Premium,High School or Below,2/1/2011,Employed,F,59207,Suburban,Single,116,23,21,0,2,Personal Auto,Personal L1,Collision,Agent,556.8,Four-Door Car,Medsize,1
IA,Iowa,287.6822941,No,Basic,High School or Below,2/14/2011,Employed,M,40171,Suburban,Divorced,73,8,78,0,1,Personal Auto,Personal L3,Other,Agent,350.4,Four-Door Car,Medsize,0
KS,Kansas,554.8031892,Yes,Basic,Bachelor,1/13/2011,Employed,M,67798,Suburban,Divorced,69,1,78,0,9,Personal Auto,Personal L3,Collision,Agent,331.2,Four-Door Car,Medsize,1
KS,Kansas,509.7526248,No,Extended,Bachelor,1/24/2011,Medical Leave,F,21665,Suburban,Divorced,136,0,25,0,1,Corporate Auto,Corporate L2,Collision,Branch,765.709629,SUV,Medsize,0
IA,Iowa,2414.387556,No,Extended,College,1/17/2011,Unemployed,M,0,Suburban,Single,87,9,75,0,2,Special Auto,Special L1,Collision,Web,626.4,Four-Door Car,Medsize,0
NE,Nebraska,353.8059456,No,Basic,College,1/15/2011,Unemployed,F,0,Suburban,Single,67,12,67,5,7,Personal Auto,Personal L2,Other,Call Center,321.6,Four-Door Car,Medsize,0
OK,Oklahoma,2909.123936,No,Extended,Bachelor,2/18/2011,Employed,F,34226,Rural,Married,244,29,22,0,2,Personal Auto,Personal L3,Collision,Agent,494.395024,Luxury SUV,Small,0
MO,Missouri,1983.420115,No,Extended,High School or Below,1/6/2011,Employed,F,65989,Rural,Married,123,4,43,1,2,Personal Auto,Personal L3,Scratch/Dent,Call Center,115.545086,SUV,Medsize,0
IA,Iowa,473.1366975,No,Basic,High School or Below,1/14/2011,Employed,M,30686,Rural,Single,61,22,45,0,3,Corporate Auto,Corporate L3,Hail,Web,19.938981,Four-Door Car,Medsize,0
MO,Missouri,3553.7846,No,Basic,Master,2/6/2011,Unemployed,F,0,Suburban,Married,113,15,6,0,2,Personal Auto,Personal L3,Collision,Call Center,799.926741,Sports Car,Large,0
NE,Nebraska,3461.137896,Yes,Basic,High School or Below,1/14/2011,Employed,F,20090,Suburban,Married,109,10,59,0,2,Personal Auto,Personal L1,Hail,Agent,523.2,Sports Car,Medsize,1
MO,Missouri,2021.630883,No,Basic,High School or Below,1/24/2011,Unemployed,M,0,Suburban,Married,183,6,16,0,2,Personal Auto,Personal L1,Scratch/Dent,Agent,878.4,Luxury SUV,Large,0
IA,Iowa,1397.651925,No,Premium,College,1/26/2011,Employed,M,77094,Urban,Married,176,25,29,0,5,Personal Auto,Personal L3,Scratch/Dent,Call Center,444.470676,SUV,Medsize,0
MO,Missouri,590.4088162,No,Basic,College,1/15/2011,Employed,F,97413,Urban,Married,73,21,80,0,6,Personal Auto,Personal L3,Collision,Agent,268.819985,Four-Door Car,Medsize,0
IA,Iowa,559.5835041,No,Basic,Master,1/22/2011,Employed,F,79189,Suburban,Married,69,6,97,0,4,Corporate Auto,Corporate L2,Other,Branch,331.2,Four-Door Car,Medsize,0
MO,Missouri,229.4303629,No,Basic,High School or Below,2/9/2011,Unemployed,F,0,Suburban,Divorced,62,5,31,0,1,Personal Auto,Personal L3,Scratch/Dent,Branch,297.6,Two-Door Car,Medsize,0
NE,Nebraska,627.3911874,Yes,Extended,College,2/16/2011,Retired,F,18577,Suburban,Divorced,86,21,76,0,6,Personal Auto,Personal L2,Collision,Branch,412.8,Four-Door Car,Medsize,1
IA,Iowa,372.6727996,No,Basic,College,2/26/2011,Unemployed,F,0,Suburban,Single,112,7,34,1,1,Special Auto,Special L1,Collision,Agent,806.4,Sports Car,Medsize,0
KS,Kansas,528.5118669,No,Basic,Bachelor,1/24/2011,Employed,M,40783,Suburban,Married,67,13,43,1,9,Personal Auto,Personal L1,Collision,Call Center,321.6,Four-Door Car,Medsize,0
IA,Iowa,511.0680779,No,Basic,Bachelor,1/28/2011,Unemployed,M,0,Suburban,Single,74,34,51,0,4,Corporate Auto,Corporate L2,Collision,Call Center,532.8,Four-Door Car,Medsize,0
OK,Oklahoma,712.6596501,No,Basic,College,2/3/2011,Medical Leave,M,17483,Suburban,Married,183,24,63,0,1,Personal Auto,Personal L1,Hail,Web,1317.6,Luxury Car,Large,0
IA,Iowa,460.1634099,No,Basic,Master,1/27/2011,Employed,M,84394,Suburban,Married,114,9,38,0,1,Personal Auto,Personal L3,Other,Agent,691.412378,SUV,Medsize,0
IA,Iowa,915.5239699,No,Extended,College,2/4/2011,Unemployed,M,0,Suburban,Married,127,3,93,0,3,Personal Auto,Personal L2,Hail,Agent,804.811859,Sports Car,Medsize,0
IA,Iowa,1480.805624,No,Basic,College,2/22/2011,Employed,F,41440,Suburban,Married,62,20,80,1,2,Personal Auto,Personal L3,Scratch/Dent,Agent,297.6,Four-Door Car,Small,0
NE,Nebraska,890.1678357,No,Extended,High School or Below,1/19/2011,Unemployed,M,0,Suburban,Single,136,14,69,1,8,Personal Auto,Personal L3,Collision,Agent,1090.86434,Sports Car,Small,0
IA,Iowa,573.4598243,No,Basic,College,1/5/2011,Employed,F,98132,Rural,Married,71,10,61,0,3,Personal Auto,Personal L2,Scratch/Dent,Branch,50.587035,Two-Door Car,Medsize,0
IA,Iowa,417.7696973,No,Premium,High School or Below,2/3/2011,Unemployed,F,0,Suburban,Married,112,4,49,0,1,Personal Auto,Personal L2,Scratch/Dent,Agent,537.6,Four-Door Car,Medsize,0
MO,Missouri,2777.628906,No,Extended,Bachelor,1/18/2011,Employed,M,88220,Rural,Married,230,28,63,0,2,Personal Auto,Personal L3,Collision,Call Center,151.528482,Luxury Car,Small,0
NE,Nebraska,1036.434749,No,Extended,Master,1/9/2011,Employed,F,58327,Urban,Married,129,31,5,0,3,Personal Auto,Personal L3,Hail,Branch,347.075948,SUV,Medsize,0
IA,Iowa,785.1901368,No,Basic,Master,2/3/2011,Employed,M,25950,Urban,Married,66,27,1,0,2,Personal Auto,Personal L1,Other,Agent,271.697529,Two-Door Car,Medsize,0
IA,Iowa,477.2943848,Yes,Extended,High School or Below,2/18/2011,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Corporate Auto,Corporate L3,Hail,Agent,638.4,SUV,Medsize,1
IA,Iowa,1422.650485,No,Premium,High School or Below,1/8/2011,Employed,M,65726,Suburban,Married,177,35,90,0,7,Corporate Auto,Corporate L1,Collision,Agent,849.6,SUV,Medsize,0
KS,Kansas,403.1104947,No,Basic,College,2/7/2011,Unemployed,M,0,Suburban,Married,63,35,59,3,3,Personal Auto,Personal L2,Hail,Call Center,639.45899,Two-Door Car,Large,0
KS,Kansas,279.4907476,No,Basic,College,1/22/2011,Employed,F,39783,Suburban,Single,72,28,43,0,1,Personal Auto,Personal L1,Collision,Branch,345.6,Two-Door Car,Medsize,0
MO,Missouri,436.2931238,Yes,Premium,College,1/3/2011,Employed,M,58842,Suburban,Married,110,6,74,0,1,Personal Auto,Personal L1,Hail,Branch,528,Four-Door Car,Medsize,1
